revenue_rank,units_rank,contribution_rank,product,units,revenue,product_cogs_total,gross_profit_total,expense_subtotal_total,contribution_profit,average_price,average_cogs,net_profit_per_unit,gross_margin,net_margin,sku_count,channel_count,spec_summary,missing_cost_rows,negative_rows,diagnosis
1,1,1,薑汁黑糖,4131,435255,105315,329940,247217.3,82722.7,105.36,25.49,20.02,0.7580383912878658,0.19005572462119905,4,4,380g / 600g,0,0,淨利主力
2,2,2,黑糖蜜,2412,307060,91173.2,215886.8,174404.76,41482.04,127.31,37.8,17.2,0.7030769230769232,0.13509425641025638,2,1,350ml / 1890ml,1,0,成本待補
3,3,7,黑糖薑母茶,2360,264320,108560,155760,150129.18,5630.82,112,46,2.39,0.5892857142857143,0.021303047619047572,1,1,40台斤(一箱),0,0,高營收低淨利
4,4,3,桂圓黑糖,1507,177382,45570,131812,100749.9,31062.1,117.71,30.24,20.61,0.7430968192939532,0.1751141526272865,4,4,380g / 600g,0,0,淨利主力
5,6,4,玫瑰四物黑糖,1114,132580,26816,105764,75303.14,30460.86,119.01,24.07,27.34,0.7977372152662543,0.22975454859958763,4,4,380g / 600g,0,0,高毛利主力
6,5,5,原味黑糖,1188,127212,25896,101316,72254.21,29061.79,107.08,21.8,24.46,0.7964342986510706,0.22845163198440394,4,4,380g / 600g,0,0,高毛利主力
7,7,6,桂圓紅棗薑黑糖,272,38080,8432,29648,21628.78,8019.22,140,31,29.48,0.7785714285714286,0.21058876190476192,1,1,260g,0,0,穩定貢獻
8,8,9,梅精黑糖,154,15587,5123,10464,8853.15,1610.85,101.21,33.27,10.46,0.6713286713286714,0.1033460046620046,2,1,150ml / 1890ml,1,0,成本待補
9,9,8,冬瓜,98,13720,2744,10976,7792.72,3183.28,140,28,32.48,0.8,0.23201733333333335,1,1,260g,0,0,穩定貢獻
10,10,11,黑糖檸檬,63,7371,3231.9,4139.1,4186.6,-47.5,117,51.3,-0.75,0.5615384615384615,-0.006444205128205167,1,1,150ml,0,1,虧損風險
11,11,10,百香果黑糖,40,4680,1920,2760,2658.16,101.84,117,48,2.55,0.5897435897435898,0.021760923076923015,1,1,150ml,0,0,穩定貢獻
